hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,booking_changes,adr,required_car_parking_spaces,total_of_special_requests,reservation_status_date
City Hotel,1,105,2017,May,19,0,2,1,0,0,160,0,0,2017/2/3
City Hotel,1,61,2016,December,22,2,5,2,0,0,96.9,0,4,2016/10/30
City Hotel,0,0,2017,July,30,1,0,1,0,0,65,0,0,2017/7/31
City Hotel,1,221,2016,June,10,1,2,2,0,0,80,0,0,2015/11/17
City Hotel,1,151,2017,April,26,2,4,2,0,0,100.5,0,0,2017/1/1
City Hotel,0,47,2017,June,11,2,2,2,0,0,140,0,1,2017/6/15
City Hotel,1,398,2016,August,11,0,2,2,0,0,62,0,0,2015/10/21
City Hotel,0,11,2016,May,2,1,1,3,0,0,186,0,2,2016/5/4
City Hotel,0,13,2015,December,15,0,4,1,0,0,65,0,0,2015/12/19
City Hotel,1,265,2016,October,9,2,3,2,0,0,100.3,0,0,2016/7/3
City Hotel,0,76,2015,October,13,0,2,2,0,0,98.25,1,1,2015/10/15
City Hotel,0,46,2016,September,5,1,3,4,0,0,186.77,0,1,2016/9/9
City Hotel,0,265,2016,June,24,0,2,2,0,0,115,0,1,2016/6/26
City Hotel,0,58,2016,May,13,0,2,3,0,0,159.3,0,3,2016/5/15
City Hotel,1,339,2015,September,21,1,1,2,0,0,62,0,0,2015/1/1
City Hotel,1,3,2016,November,21,1,0,2,0,0,95,0,0,2016/11/18
City Hotel,0,22,2015,November,21,2,1,2,0,0,88.33,0,1,2015/11/24
City Hotel,0,273,2015,July,17,0,2,1,0,1,87,0,0,2015/7/19
City Hotel,1,172,2017,August,6,4,10,2,0,0,113.32,0,0,2017/4/9
City Hotel,0,11,2017,May,21,2,1,1,0,1,120,0,0,2017/5/24
City Hotel,0,19,2016,September,11,2,1,2,0,0,107,0,0,2016/9/14
City Hotel,1,264,2015,July,8,0,2,2,0,0,62,0,0,2015/6/29
City Hotel,1,177,2017,January,19,1,3,2,0,0,85,0,1,2016/10/12
City Hotel,1,22,2015,July,22,0,2,2,0,0,62,0,0,2015/7/2
City Hotel,0,7,2016,March,29,0,2,1,0,0,95,0,0,2016/3/31
City Hotel,0,4,2016,February,15,1,1,1,0,0,65,0,1,2016/2/17
City Hotel,1,105,2016,April,6,0,1,2,0,0,75,0,0,2016/1/18
City Hotel,0,1,2016,May,6,0,2,2,0,1,158,1,0,2016/5/8
City Hotel,0,48,2015,September,11,0,1,2,0,0,104,0,0,2015/9/12
City Hotel,0,213,2016,August,23,1,5,2,0,1,123.25,0,0,2016/8/29
City Hotel,0,27,2017,February,24,1,2,2,0,0,118,0,1,2017/2/27
City Hotel,0,41,2016,December,27,1,5,2,0,1,70,0,0,2017/1/2
City Hotel,1,54,2017,July,12,0,4,2,0,0,155,0,0,2017/6/4
City Hotel,1,158,2017,August,24,2,5,3,0,0,202.5,0,0,2017/3/20
City Hotel,0,2,2017,February,24,0,1,2,0,0,98,0,2,2017/2/25
City Hotel,0,6,2017,February,13,1,1,2,0,1,98,0,0,2017/2/15
City Hotel,0,2,2017,February,24,0,1,2,0,2,97,1,1,2017/2/25
City Hotel,0,204,2015,October,9,2,2,2,0,0,72.75,0,0,2015/10/13
City Hotel,1,300,2015,August,13,0,2,2,0,0,62.8,0,0,2014/10/17
City Hotel,0,1,2016,August,7,1,0,2,0,0,98,0,1,2016/8/8
City Hotel,0,120,2016,April,12,0,4,2,0,0,80.75,0,1,2016/4/16
City Hotel,0,12,2017,January,16,1,1,1,0,0,90,0,1,2017/1/18
City Hotel,1,89,2015,November,23,1,2,2,0,0,72.25,0,2,2015/10/26
City Hotel,1,355,2015,October,7,0,2,2,0,0,62,0,0,2015/7/2
City Hotel,1,67,2017,February,12,2,0,2,0,0,80,0,0,2016/12/7
City Hotel,1,295,2015,August,8,2,2,2,0,0,62,0,0,2015/7/6
City Hotel,0,87,2016,April,26,0,3,2,0,0,96.3,0,2,2016/4/29
City Hotel,1,166,2016,November,1,0,3,1,0,0,110,0,0,2016/7/13
City Hotel,0,30,2016,May,21,0,1,2,0,0,126.9,0,1,2016/5/22
City Hotel,0,3,2015,September,13,1,0,2,0,0,126,0,1,2015/9/14
City Hotel,0,316,2016,May,26,0,3,1,0,1,100,0,0,2016/5/29
City Hotel,0,141,2017,July,21,1,2,2,0,0,138,0,0,2017/7/24
City Hotel,1,330,2016,June,2,0,2,2,0,0,62,0,0,2015/10/21
City Hotel,0,36,2016,May,21,2,1,2,0,0,85.5,0,0,2016/5/24
City Hotel,0,61,2015,October,4,2,0,2,0,0,91,0,0,2015/10/6
City Hotel,1,142,2016,April,22,2,3,1,0,0,89,0,0,2016/1/18
City Hotel,0,77,2016,April,2,2,2,1,0,2,72.25,0,0,2016/4/6
City Hotel,0,127,2016,October,2,2,3,3,0,0,146.92,0,1,2016/10/7
City Hotel,0,93,2016,March,4,0,2,2,0,0,60,0,1,2016/3/6
City Hotel,0,115,2016,February,27,2,3,1,0,1,75,0,0,2016/3/3
City Hotel,0,218,2017,June,19,1,1,2,0,0,130.5,0,0,2017/6/21
City Hotel,1,91,2016,May,13,1,2,2,0,0,140.4,0,0,2016/2/22
City Hotel,0,47,2016,November,12,2,2,1,0,2,85.75,0,1,2016/11/16
City Hotel,1,269,2016,December,29,2,3,1,0,0,70,0,0,2016/11/18
City Hotel,0,6,2016,December,18,1,0,1,0,0,88,0,1,2016/12/19
City Hotel,0,59,2016,March,20,2,3,1,0,0,79.05,0,2,2016/3/25
City Hotel,0,42,2015,September,19,2,1,2,0,0,76.5,0,0,2015/9/22
City Hotel,0,2,2017,August,9,0,1,2,0,0,180,0,1,2017/8/10
City Hotel,0,35,2015,October,7,0,2,2,0,0,66.53,0,1,2015/10/9
City Hotel,0,153,2017,July,11,0,2,2,0,0,141.3,0,0,2017/7/13
City Hotel,0,316,2016,May,26,0,3,2,0,0,110,0,0,2016/5/29
City Hotel,1,148,2017,May,4,0,2,2,0,0,95,0,0,2016/12/7
City Hotel,0,36,2016,October,28,1,2,2,0,0,109,0,1,2016/10/31
City Hotel,1,114,2016,July,1,1,2,1,0,0,75,0,0,2016/3/16
City Hotel,0,50,2016,March,31,0,3,1,0,1,57.5,0,0,2016/4/3
City Hotel,0,386,2016,October,23,2,0,2,0,0,115,0,1,2016/10/25
City Hotel,1,288,2016,April,21,0,2,2,0,0,62,0,0,2015/10/21
City Hotel,0,89,2016,May,5,1,3,2,0,0,148.75,0,0,2016/5/9
City Hotel,0,45,2017,June,15,0,2,2,0,0,150,0,1,2017/6/17
City Hotel,0,3,2016,February,1,1,2,1,0,0,67,0,0,2016/2/4
City Hotel,0,80,2015,October,9,0,2,2,0,0,136,0,0,2015/10/11
City Hotel,0,14,2017,July,28,0,2,2,0,0,150,0,1,2017/7/30
City Hotel,0,259,2016,September,21,0,1,1,0,0,91,0,0,2016/9/22
City Hotel,1,137,2016,January,27,0,2,1,0,0,70,0,0,2015/10/27
City Hotel,0,6,2015,September,3,0,3,2,0,0,117.67,0,2,2015/9/6
City Hotel,0,193,2016,September,29,0,3,2,0,0,93.09,0,1,2016/10/2
City Hotel,0,97,2017,May,22,1,3,3,0,0,207.45,0,3,2017/5/26
City Hotel,0,11,2017,February,2,0,3,2,0,0,88,0,0,2017/2/5
City Hotel,1,59,2017,March,18,2,3,2,0,1,100.3,0,0,2017/3/1
City Hotel,1,123,2017,May,19,0,2,2,0,0,126,0,0,2017/1/17
City Hotel,0,53,2016,June,24,1,2,2,0,0,65,0,1,2016/6/27
City Hotel,1,186,2017,May,30,0,2,2,0,0,130,0,0,2016/11/25
City Hotel,0,50,2016,September,2,1,2,3,0,0,193.5,0,0,2016/9/5
City Hotel,0,35,2015,October,26,1,1,2,0,0,76.5,0,1,2015/10/28
City Hotel,0,17,2016,September,2,0,1,2,0,1,118,0,0,2016/9/3
City Hotel,0,38,2016,December,2,0,2,2,0,0,85,0,0,2016/12/4
City Hotel,1,121,2017,June,20,0,3,2,0,0,117,0,0,2017/3/14
City Hotel,0,1,2016,December,15,0,1,2,0,0,4900,0,1,2016/12/16
City Hotel,1,49,2016,September,5,1,2,1,0,0,115.5,0,1,2016/8/25
City Hotel,1,88,2016,November,18,0,2,2,0,0,102.6,0,1,2016/10/21
City Hotel,0,79,2017,March,25,0,1,2,0,0,106.2,0,1,2017/3/26
City Hotel,0,63,2017,April,23,2,4,2,0,0,108,0,0,2017/4/29
City Hotel,1,27,2016,September,25,2,0,2,0,0,89.1,0,1,2016/9/1
City Hotel,0,12,2017,January,16,2,5,2,0,0,115.12,0,1,2017/1/23
City Hotel,0,93,2017,August,4,0,2,2,0,0,134,1,1,2017/8/6
City Hotel,0,74,2016,May,15,2,2,2,0,0,132.6,0,1,2016/5/19
City Hotel,1,109,2017,April,15,2,2,2,0,0,144,0,0,2017/1/2
City Hotel,1,353,2015,October,5,1,1,2,0,0,62,0,0,2015/1/1
City Hotel,1,103,2016,April,19,0,2,1,0,0,115,0,0,2016/2/25
City Hotel,1,86,2016,January,22,0,1,2,0,0,85,0,0,2015/12/2
City Hotel,1,98,2015,November,23,1,2,1,0,0,70,0,0,2015/11/19
City Hotel,1,10,2015,August,17,1,3,2,0,0,99,0,1,2015/8/13
City Hotel,1,91,2017,May,21,2,3,2,0,0,138.6,0,0,2017/2/21
City Hotel,0,99,2016,May,1,2,1,3,0,0,137.7,0,2,2016/5/4
City Hotel,1,328,2015,September,10,0,2,2,0,0,62,0,0,2015/1/1
City Hotel,0,216,2016,August,30,0,2,2,0,0,96.3,0,1,2016/9/1
City Hotel,0,13,2016,January,20,1,4,2,0,0,80.3,0,1,2016/1/25
City Hotel,0,11,2015,September,22,0,2,1,0,0,84,0,0,2015/9/24
City Hotel,0,34,2016,September,18,1,0,2,0,0,85.5,0,0,2016/9/19
City Hotel,0,168,2015,September,11,0,2,1,0,1,50,0,0,2015/9/13
City Hotel,0,21,2016,May,9,1,3,2,0,0,114,0,2,2016/5/13
City Hotel,0,5,2016,May,28,0,1,3,0,0,206,1,3,2016/5/29
City Hotel,0,45,2017,April,24,1,1,2,0,0,108,0,0,2017/4/26
City Hotel,0,20,2016,June,2,0,1,1,0,0,85,0,0,2016/6/3
City Hotel,0,262,2016,October,7,2,3,2,0,0,100.3,0,1,2016/10/12
City Hotel,1,350,2016,September,30,1,2,2,0,0,90,0,0,2015/11/2
City Hotel,0,96,2015,July,11,2,1,2,0,0,94.5,0,0,2015/7/14
City Hotel,0,12,2016,May,29,2,0,1,0,0,97.02,0,1,2016/5/31
City Hotel,0,7,2017,June,19,1,2,1,0,0,140.6,0,1,2017/6/22
City Hotel,0,3,2015,December,10,0,1,1,0,0,65,0,0,2015/12/11
City Hotel,0,50,2016,December,3,2,2,2,0,1,68.07,0,1,2016/12/7
City Hotel,0,142,2017,April,12,0,3,2,0,2,136.33,1,1,2017/4/15
City Hotel,0,116,2017,March,24,0,2,2,0,1,100,0,0,2017/3/26
City Hotel,0,68,2017,April,20,2,3,2,0,0,108,0,3,2017/4/25
City Hotel,0,9,2016,October,7,1,2,2,0,0,166.67,0,0,2016/10/10
City Hotel,0,57,2016,October,13,2,4,1,0,0,128.7,0,0,2016/10/19
City Hotel,0,55,2016,November,24,2,3,2,0,1,68.07,0,1,2016/11/29
City Hotel,1,167,2016,October,5,0,2,1,0,0,78.2,0,0,2016/4/25
City Hotel,1,164,2017,May,15,1,2,1,0,0,160,0,0,2017/1/31
City Hotel,1,141,2016,April,8,1,2,2,0,0,72.25,0,1,2016/2/29
City Hotel,0,114,2016,September,23,1,2,2,0,0,135.9,0,2,2016/9/26
City Hotel,0,246,2016,December,27,2,5,3,0,3,93.36,0,2,2017/1/3
City Hotel,1,277,2016,November,7,1,2,2,0,0,100,0,0,2016/4/4
City Hotel,0,0,2015,August,13,0,3,2,0,0,148.67,0,0,2015/8/16
City Hotel,0,25,2016,November,12,2,2,2,0,0,100.3,0,0,2016/11/16
City Hotel,1,180,2016,October,16,2,2,2,2,0,143.7,0,0,2016/10/11
City Hotel,0,18,2016,November,8,0,1,2,0,1,75,0,3,2016/11/9
City Hotel,0,0,2016,June,22,0,2,2,0,0,101,0,0,2016/6/24
City Hotel,0,6,2015,October,5,1,3,2,0,3,133,0,2,2015/10/9
City Hotel,1,5,2016,March,7,1,2,2,0,0,89,0,1,2016/3/4
City Hotel,1,174,2017,June,1,0,3,2,0,0,110,0,0,2016/12/9
City Hotel,0,2,2016,January,3,1,0,2,0,0,71.6,0,0,2016/1/4
City Hotel,1,19,2016,July,16,1,1,2,0,0,151,0,1,2016/7/3
City Hotel,0,0,2017,May,22,1,3,2,0,0,171,0,0,2017/5/26
City Hotel,1,57,2017,April,3,1,3,2,0,0,117,0,0,2017/2/13
City Hotel,0,8,2017,May,16,0,1,1,0,0,110,0,0,2017/5/17
City Hotel,0,124,2016,August,1,1,3,2,0,0,105.3,0,1,2016/8/5
City Hotel,1,7,2016,February,11,1,3,2,0,1,60,0,0,2016/2/8
City Hotel,1,102,2015,October,16,0,2,1,0,0,80,0,0,2015/7/6
City Hotel,0,45,2016,April,17,2,0,1,0,0,99,1,0,2016/4/19
City Hotel,0,15,2016,August,21,1,0,2,0,0,129,0,2,2016/8/22
City Hotel,0,315,2017,April,29,1,1,2,0,0,99,0,1,2017/5/1
City Hotel,0,85,2016,June,26,2,4,2,0,0,108.3,0,1,2016/7/2
City Hotel,1,360,2015,October,12,1,1,2,0,0,62,0,0,2015/1/1
City Hotel,0,3,2017,August,24,0,1,1,1,1,119,0,1,2017/8/25
City Hotel,0,29,2016,April,18,1,0,2,0,0,101,0,1,2016/4/19
City Hotel,0,166,2015,October,12,1,3,2,0,0,89.25,0,2,2015/10/16
City Hotel,0,181,2017,August,6,2,2,2,0,2,117,0,0,2017/8/10
City Hotel,1,335,2015,September,17,0,2,2,0,0,62,0,0,2015/1/1
City Hotel,0,16,2016,February,14,2,0,2,0,0,104,1,3,2016/2/16
City Hotel,0,271,2016,December,3,2,1,2,0,0,71.64,0,0,2016/12/6
City Hotel,1,107,2016,April,14,0,3,2,0,0,102.3,0,1,2016/3/8
City Hotel,1,137,2017,June,18,2,1,2,1,0,135,0,3,2017/2/1
City Hotel,1,30,2016,November,15,0,4,2,0,0,96.9,0,1,2016/10/18
City Hotel,1,281,2016,April,14,0,2,2,0,0,62,0,0,2015/10/21
City Hotel,0,10,2015,December,28,1,3,2,0,0,136,1,1,2016/1/1
City Hotel,1,219,2016,September,30,1,2,2,0,0,120,0,0,2016/3/15
City Hotel,0,13,2017,May,9,0,3,2,0,1,160,0,0,2017/5/12
City Hotel,1,168,2017,April,16,2,3,2,1,0,135,0,0,2017/4/7
City Hotel,1,40,2016,May,21,0,1,2,0,0,89.4,0,0,2016/4/20
City Hotel,0,7,2017,February,15,0,1,1,0,0,123,0,0,2017/2/16
City Hotel,0,208,2017,August,2,0,1,2,0,0,157,0,1,2017/8/3
City Hotel,0,116,2017,June,12,2,5,1,0,0,123.43,0,0,2017/6/19
City Hotel,1,16,2017,May,10,2,5,1,0,0,181.43,0,1,2017/4/29
City Hotel,1,37,2016,October,13,0,3,2,0,0,105,0,0,2016/9/6
City Hotel,0,17,2015,October,16,0,2,2,0,0,48,0,0,2015/10/18
City Hotel,0,74,2017,June,20,0,3,1,0,2,146.67,0,1,2017/6/23
City Hotel,0,188,2016,July,28,0,3,2,0,0,80.75,0,0,2016/7/31
City Hotel,1,299,2015,August,12,0,2,2,0,0,62,0,0,2015/7/2
City Hotel,1,121,2016,December,15,0,2,2,0,0,79.2,0,1,2016/8/25
City Hotel,0,65,2015,September,25,2,3,1,0,0,130.9,0,2,2015/9/30
City Hotel,1,315,2016,December,2,0,2,2,0,0,52,0,0,2016/3/15
City Hotel,0,14,2016,August,20,1,1,1,2,0,135.65,1,2,2016/8/22
City Hotel,1,29,2017,May,10,0,1,1,0,0,174,0,0,2017/5/9
City Hotel,1,38,2017,January,14,0,1,1,0,0,75,0,0,2016/12/7
City Hotel,1,61,2016,July,17,2,0,2,0,0,94.5,0,0,2016/6/5
City Hotel,1,277,2016,November,7,1,2,2,0,0,100,0,0,2016/4/4
City Hotel,0,24,2016,November,5,2,3,2,0,0,174.9,0,3,2016/11/10
City Hotel,0,206,2016,August,5,0,1,2,2,1,309.5,1,0,2016/8/6
City Hotel,0,122,2017,August,20,2,3,1,0,1,115,0,0,2017/8/25
City Hotel,1,175,2017,May,19,0,1,1,0,0,90,0,0,2016/11/25
City Hotel,0,101,2015,December,31,1,3,2,0,0,61.5,0,0,2016/1/4
City Hotel,0,125,2016,June,9,0,1,2,0,0,116.1,0,0,2016/6/10
City Hotel,1,58,2017,March,24,2,6,2,2,0,198,0,0,2017/1/25
City Hotel,0,134,2017,February,25,0,1,1,0,0,75,0,0,2017/2/26
City Hotel,1,37,2017,March,15,0,2,2,0,0,110,0,0,2017/2/6
City Hotel,1,0,2017,June,13,0,1,1,0,0,80,0,0,2017/6/13
City Hotel,1,71,2016,June,14,0,3,1,0,0,120,0,0,2016/4/27
City Hotel,0,131,2017,June,30,1,2,2,0,0,110.4,0,0,2017/7/3
City Hotel,1,36,2016,June,11,2,1,2,2,0,209.7,0,0,2016/5/7
City Hotel,0,39,2016,May,29,1,0,2,0,0,122.4,0,1,2016/5/30
City Hotel,1,156,2017,April,26,0,3,2,0,0,100,0,0,2016/11/21
City Hotel,0,1,2016,February,19,0,1,1,0,0,80,0,0,2016/2/20
City Hotel,1,66,2016,June,4,1,1,3,0,0,154.8,0,0,2016/4/24
City Hotel,1,130,2017,June,8,0,3,3,0,0,189,0,2,2017/5/5
City Hotel,0,64,2017,July,29,0,1,2,0,0,150,0,2,2017/7/30
City Hotel,1,74,2015,September,18,0,2,2,0,0,101.5,0,0,2015/7/6
City Hotel,1,113,2016,February,25,0,3,2,0,0,75,0,0,2015/12/18
City Hotel,1,323,2015,September,5,1,1,2,0,0,62,0,0,2015/7/2
City Hotel,0,69,2015,September,9,0,2,2,0,0,62,0,0,2015/9/11
City Hotel,1,233,2017,June,23,1,2,2,0,0,105,0,0,2017/4/21
City Hotel,1,437,2017,June,6,0,1,2,0,0,90,0,0,2017/5/5
City Hotel,1,34,2015,December,8,0,2,1,0,0,90,0,0,2015/11/17
City Hotel,1,86,2016,November,30,0,2,2,1,0,109.8,0,1,2016/10/25
City Hotel,1,119,2016,February,10,0,3,2,0,0,81,0,1,2016/2/4
City Hotel,0,55,2015,September,6,2,0,2,0,0,75,0,0,2015/9/8
City Hotel,0,206,2017,May,30,0,3,2,0,0,159.3,0,0,2017/6/2
City Hotel,0,233,2017,June,28,1,4,2,1,0,84.56,0,4,2017/7/3
City Hotel,0,11,2017,February,20,1,3,2,0,1,84.7,0,1,2017/2/24
City Hotel,0,38,2017,June,16,1,2,2,0,0,112,0,1,2017/6/19
City Hotel,0,42,2016,May,17,0,3,2,0,0,96.3,0,0,2016/5/20
City Hotel,0,10,2017,January,8,1,0,2,0,2,78,0,2,2017/1/9
City Hotel,1,79,2016,July,6,1,4,1,0,0,129.96,0,0,2016/4/19
City Hotel,1,87,2015,September,25,2,3,2,0,0,170,0,0,2015/9/9
City Hotel,0,1,2017,March,14,0,1,1,0,0,70.4,0,1,2017/3/15
City Hotel,1,20,2017,March,22,0,2,2,0,0,98,0,0,2017/3/15
City Hotel,1,165,2017,May,19,2,2,2,0,0,225,0,0,2017/1/12
City Hotel,0,7,2016,March,23,0,4,2,0,0,126,0,1,2016/3/27
City Hotel,1,305,2016,November,4,1,2,2,0,0,89,0,0,2016/2/1
City Hotel,1,17,2016,February,16,0,4,2,0,0,79,0,2,2016/2/5
City Hotel,0,330,2017,June,9,1,2,2,0,0,99,0,2,2017/6/12
City Hotel,1,9,2017,February,6,1,3,2,0,0,91.8,0,0,2017/1/28
City Hotel,1,148,2017,February,24,2,2,0,2,1,91.6,0,1,2017/2/3
City Hotel,1,54,2016,July,3,2,1,2,0,0,117.9,0,0,2016/5/10
City Hotel,0,0,2016,April,30,0,1,2,0,0,131,0,0,2016/5/1
City Hotel,0,19,2017,February,26,2,1,1,0,1,75,0,1,2017/3/1
City Hotel,1,304,2016,November,3,0,3,2,0,0,89,0,0,2016/2/1
City Hotel,1,35,2017,May,10,0,1,2,0,0,130,0,0,2017/5/3
City Hotel,1,379,2016,July,21,0,2,2,0,0,62,0,0,2015/10/21
City Hotel,0,6,2016,June,29,0,1,2,1,0,133.45,0,1,2016/6/30
City Hotel,1,197,2016,August,23,2,5,2,0,0,97.02,0,0,2016/2/10
City Hotel,0,148,2016,May,29,2,2,2,0,0,108.16,0,1,2016/6/2
City Hotel,0,99,2017,May,17,0,3,2,0,0,89.1,0,0,2017/5/20
City Hotel,0,32,2015,November,20,0,2,1,0,0,73,0,0,2015/11/22
City Hotel,0,97,2015,December,30,0,4,2,0,0,61,0,0,2016/1/3
City Hotel,0,31,2016,March,17,0,1,2,0,0,71.1,0,1,2016/3/18
City Hotel,1,101,2017,May,19,1,2,2,0,0,189,0,0,2017/4/28
City Hotel,1,129,2017,June,2,1,2,2,0,0,130,0,0,2017/1/24
City Hotel,0,84,2017,March,13,1,3,2,0,1,94.8,0,2,2017/3/17
City Hotel,1,202,2016,May,29,2,1,2,0,0,90,0,0,2016/1/19
City Hotel,1,245,2016,July,6,2,4,1,0,0,110,0,0,2016/2/23
City Hotel,0,257,2015,July,1,0,2,2,0,0,101.5,0,0,2015/7/3
City Hotel,0,13,2016,January,20,0,1,1,0,2,71,0,0,2016/1/21
City Hotel,0,120,2017,April,13,2,5,1,1,0,91.31,0,0,2017/4/20
City Hotel,0,2,2017,August,25,0,1,2,0,0,170,0,3,2017/8/26
City Hotel,1,440,2016,September,22,0,1,1,0,0,59,0,0,2015/10/21
City Hotel,0,22,2016,September,13,0,3,3,0,0,124,0,1,2016/9/16
City Hotel,1,210,2017,June,19,1,3,2,0,0,130,0,0,2017/1/24
City Hotel,1,258,2016,September,29,0,1,2,0,0,106.2,0,1,2016/9/25
City Hotel,1,210,2017,June,19,1,3,2,0,0,130,0,0,2017/1/24
City Hotel,1,327,2015,September,9,0,2,2,0,0,62,0,0,2015/7/2
City Hotel,0,4,2015,November,17,0,1,1,0,0,91,0,2,2015/11/18
City Hotel,0,86,2017,July,16,2,0,3,0,0,190,0,1,2017/7/18
City Hotel,1,507,2017,August,15,0,1,2,0,0,90,0,0,2017/8/4
City Hotel,1,451,2016,May,16,1,2,2,0,0,60,0,0,2016/3/14
City Hotel,1,18,2016,March,19,2,1,2,0,0,113.67,0,0,2016/3/2
City Hotel,0,108,2016,April,26,0,4,2,0,0,101.58,0,2,2016/4/30
City Hotel,1,22,2016,March,3,0,3,2,0,2,94.33,0,2,2016/2/14
City Hotel,0,14,2015,September,2,0,1,2,0,0,94.5,0,1,2015/9/3
City Hotel,1,443,2016,April,29,0,1,2,0,0,65,0,0,2016/1/19
City Hotel,0,115,2017,March,23,0,3,1,0,1,90,0,1,2017/3/26
City Hotel,0,0,2017,June,11,1,0,2,0,0,153,0,0,2017/6/12
City Hotel,0,3,2015,October,4,2,4,2,0,0,133,0,2,2015/10/10
City Hotel,0,308,2017,July,25,4,12,2,0,0,107.1,0,1,2017/8/10
City Hotel,0,47,2016,May,21,1,1,2,0,0,140.4,0,1,2016/5/23
City Hotel,0,35,2017,February,10,0,2,3,0,0,108.26,0,2,2017/2/12
City Hotel,0,98,2016,October,9,2,1,2,0,0,108,0,3,2016/10/12
City Hotel,0,88,2016,October,20,0,3,2,0,0,132.3,0,1,2016/10/23
City Hotel,1,164,2017,April,21,1,2,2,0,0,99,0,1,2016/11/10
City Hotel,1,11,2016,March,3,1,3,2,0,0,138,0,0,2016/2/26
City Hotel,0,17,2015,December,25,0,0,2,0,1,0,0,0,2015/12/25
City Hotel,0,77,2016,March,20,2,2,2,0,0,90.95,0,0,2016/3/24
City Hotel,0,81,2016,July,16,2,1,2,0,3,96,0,0,2016/7/19
City Hotel,1,68,2016,February,17,0,2,2,0,0,75,0,0,2016/1/6
City Hotel,0,19,2017,May,20,2,1,1,0,0,98.8,0,1,2017/5/23
City Hotel,0,50,2015,August,25,0,4,2,0,0,62,0,0,2015/8/29
City Hotel,0,40,2016,August,5,2,2,2,0,3,125.1,0,1,2016/8/9
City Hotel,0,0,2015,September,26,0,1,2,0,0,180,0,0,2015/9/27
City Hotel,1,81,2016,May,3,0,2,2,0,0,116.1,0,1,2016/2/14
City Hotel,0,150,2017,August,14,1,0,2,0,0,112.5,0,0,2017/8/15
City Hotel,1,175,2016,July,15,1,2,2,0,0,65.83,0,0,2016/2/4
